"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age","Socio-economic classification","Household income","Value","Value_type","Sample size","Standard Error","Lower CI","Upper CI"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","ONS 2011  5 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.87259588","%","34163","0.192508577","14.42","15.32537606"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.74488207","%","30424","0.203269737","14.27","15.22297249"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White British","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.54144802","%","28040","0.210519625","14.05","15.03659018"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White Irish","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","12.95187687","%","304","1.925791509","8.42","17.48133849"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Gypsy or Irish traveller","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","?","%","10","?","?","?"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other White background","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","17.18560322","%","2070","0.829182522","15.24","19.13584051"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Mixed","ONS 2011  5 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","18.68944225","%","372","2.021157561","13.94","23.44320483"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Mixed White and Black Caribbean","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","22.99787126","%","123","3.794395786","14.07","31.92229015"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Mixed White and Black African","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","?","%","49","?","?","?"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Mixed White and Asian","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","12.23916126","%","90","3.454657175","4.11","20.36451493"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other Mixed/Multiple ethnic background","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","25.41195096","%","110","4.15104351","15.65","35.1752053"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Asian","ONS 2011  5 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.81538476","%","2078","0.779317231","12.98","16.64833889"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Indian","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.36591573","%","787","1.250266573","11.43","17.30654271"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Pakistani","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","16.67997482","%","510","1.650772797","12.8","20.56259244"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Bangladeshi","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","10.73849911","%","215","2.111468736","5.77","15.70467357"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Chinese","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","13.74855049","%","185","2.531779001","7.79","19.7032947"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other Asian background","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","16.30146391","%","381","1.892386088","11.85","20.75235599"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Black","ONS 2011  5 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","16.37313943","%","930","1.213381593","13.52","19.22701294"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Black African","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","17.38582668","%","585","1.56692071","13.7","21.07122419"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Black Caribbean","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","15.86363021","%","283","2.171700623","10.76","20.97147008"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other Black background","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","8.703930785","%","62","3.580040249","0.28","17.12418545"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Other","ONS 2011  5 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.59906966","%","285","2.09156546","9.68","19.51843162"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Arab","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","20.63267838","%","96","4.130123612","10.92","30.34672912"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","Any other ethnic group","ONS 2011 18 + 1","2018/19","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","11.05175362","%","189","2.280622425","5.69","16.41577756"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","All","ONS 2011  5 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.39098234","%","34715","0.188385032","13.95","14.83406393"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White","ONS 2011  5 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","14.05280717","%","31003","0.19737654","13.59","14.51703679"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White British","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","13.97580851","%","28714","0.20462181","13.49","14.45707901"
"Proportion of adults who were victims of all CSEW crime (excluding fraud and computer misuse)","White Irish","ONS 2011 18 + 1","2017/18","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","12.15223025","%","295","1.902314669","7.68","16.62647435"
